person id,first name,last name,gender,racial category,education level,email,phone number,pair id
1,Jalen,Jackson,male,black,high,jalenjackson983,4708512563,0
2,Lamar,Williams,male,black,medium,lamarwilliams812,4707660956,0
3,DaQuan,Robinson,male,black,low,daquanrobinson325,4703912508,0
4,Nia,Harris,female,black,high,niaharris762,4707812789,0
5,Ebony,James,female,black,medium,ebonyjames541,4704622487,0
6,Shanice,Thomas,female,black,low,shanicet901,4707660937,0
7,Caleb,Peterson,male,white,high,calebpeterson92,6786660908,0
8,Charlie,Myers,male,white,medium,myerscharlie694,6782109625,0
9,Ronnie,Miller,male,white,low,ronniemiller320,6782016066,0
10,Aubrey,Murphy,female,white,high,aubreym729,6785739396,0
11,Erica,Cox,female,white,medium,ericacox778,6786608674,0
12,Leslie,Wood,female,white,low,lesliewood658,6784339731,0
13,Jorge,Rodriguez,male,hispanic,high,jrodriguez4447,7708638471,0
14,Pedro,Sanchez,male,hispanic,medium,psanchez7791,7707568069,0
15,Luis,Torres,male,hispanic,low,luistorress998,7707272664,0
16,Isabella,Lopez,female,hispanic,high,isabellalopez2277,7706797657,0
17,Mariana,Morales,female,hispanic,medium,marianammorales312,7706763778,0
18,Jimena,Ramirez,female,hispanic,low,ramirezj9022,7704152534,0
